site_count,ok,commit_mode,disaster_safe_ms
2,1,FAST,88.171964
2,1,FAST,141.246690
2,1,FAST,135.157554
2,1,FAST,109.107757
2,1,FAST,116.192638
2,1,FAST,157.368491
2,1,FAST,184.976443
2,1,FAST,113.690824
2,1,FAST,83.922141
2,1,FAST,151.591657
2,1,FAST,84.017208
2,1,FAST,125.933795
2,1,FAST,119.100747
2,1,FAST,163.795760
2,1,FAST,201.790228
2,1,FAST,112.422727
2,1,FAST,187.374554
2,1,FAST,144.865402
2,1,FAST,175.340019
2,1,FAST,106.024593
2,1,FAST,119.058985
2,1,FAST,105.033575
2,1,FAST,156.569748
2,1,FAST,83.997978
2,1,FAST,85.663420
2,1,FAST,177.173602
2,1,FAST,182.846440
2,1,FAST,106.364728
2,1,FAST,116.387125
2,1,FAST,104.369509
2,1,FAST,146.609490
2,1,FAST,165.131028
2,1,FAST,83.929271
2,1,FAST,83.979724
2,1,FAST,126.428924
2,1,FAST,155.601082
2,1,FAST,149.657981
2,1,FAST,141.376877
2,1,FAST,113.165760
2,1,FAST,109.997005
2,1,FAST,90.055021
2,1,FAST,205.231316
2,1,FAST,108.949698
2,1,FAST,199.323723
2,1,FAST,145.457952
2,1,FAST,116.247748
2,1,FAST,124.482276
2,1,FAST,175.462878
2,1,FAST,180.419837
2,1,FAST,112.065516
2,1,FAST,142.137218
2,1,FAST,90.474197
2,1,FAST,160.778572
2,1,FAST,84.114916
2,1,FAST,117.057608
2,1,FAST,143.052542
2,1,FAST,83.997469
2,1,FAST,160.873892
2,1,FAST,108.612575
2,1,FAST,143.324671
2,1,FAST,185.462509
2,1,FAST,118.928199
2,1,FAST,106.380893
2,1,FAST,182.055597
2,1,FAST,186.234338
2,1,FAST,84.097336
2,1,FAST,101.028992
2,1,FAST,103.233665
2,1,FAST,164.757661
2,1,FAST,142.756172
2,1,FAST,189.740168
2,1,FAST,115.807171
2,1,FAST,124.748625
2,1,FAST,163.647693
2,1,FAST,127.000947
2,1,FAST,83.820940
2,1,FAST,139.451460
2,1,FAST,154.613934
2,1,FAST,107.194453
2,1,FAST,119.949432
2,1,FAST,141.823778
2,1,FAST,88.039461
2,1,FAST,182.708368
2,1,FAST,191.840291
2,1,FAST,157.208228
2,1,FAST,188.952511
2,1,FAST,114.347850
2,1,FAST,84.036943
2,1,FAST,118.529397
2,1,FAST,90.915447
2,1,FAST,147.673346
2,1,FAST,167.954161
2,1,FAST,206.392371
2,1,FAST,106.519134
2,1,FAST,183.150108
2,1,FAST,166.515610
2,1,FAST,84.332367
2,1,FAST,95.738081
2,1,FAST,141.864988
2,1,FAST,138.718461
2,1,FAST,122.540330
2,1,FAST,89.700822
2,1,FAST,87.793555
2,1,FAST,176.257504
2,1,FAST,143.597795
2,1,FAST,84.051996
2,1,FAST,106.210630
2,1,FAST,151.481360
2,1,FAST,160.826242
2,1,FAST,118.144375
2,1,FAST,185.108755
2,1,FAST,102.118901
2,1,FAST,83.887116
2,1,FAST,181.063122
2,1,FAST,120.004023
2,1,FAST,143.766722
2,1,FAST,156.668811
2,1,FAST,118.911508
2,1,FAST,175.173640
2,1,FAST,131.844731
2,1,FAST,185.633188
2,1,FAST,88.332534
2,1,FAST,157.803839
2,1,FAST,158.125726
2,1,FAST,110.743463
2,1,FAST,194.058552
2,1,FAST,83.903704
2,1,FAST,100.488181
2,1,FAST,150.863048
2,1,FAST,135.734906
2,1,FAST,108.526855
2,1,FAST,207.749138
2,1,FAST,161.651047
2,1,FAST,83.953299
2,1,FAST,178.949361
2,1,FAST,135.251042
2,1,FAST,179.097447
2,1,FAST,123.266136
2,1,FAST,191.004864
2,1,FAST,83.664143
2,1,FAST,153.358377
2,1,FAST,160.462496
2,1,FAST,99.426105
2,1,FAST,148.728660
2,1,FAST,84.276481
2,1,FAST,177.864829
2,1,FAST,136.122128
2,1,FAST,112.375029
2,1,FAST,185.390414
2,1,FAST,83.822969
2,1,FAST,182.955248
2,1,FAST,135.260704
2,1,FAST,130.934983
2,1,FAST,83.706926
2,1,FAST,149.420552
2,1,FAST,191.502657
2,1,FAST,109.298892
2,1,FAST,168.796242
2,1,FAST,181.796372
2,1,FAST,130.954490
2,1,FAST,110.392084
2,1,FAST,102.655695
2,1,FAST,135.574894
2,1,FAST,188.828324
2,1,FAST,161.654059
2,1,FAST,129.623138
2,1,FAST,83.607812
2,1,FAST,96.825780
2,1,FAST,91.097458
2,1,FAST,140.570936
2,1,FAST,125.293975
2,1,FAST,165.496370
2,1,FAST,87.323348
2,1,FAST,191.048680
2,1,FAST,95.421902
2,1,FAST,200.757938
2,1,FAST,109.696646
2,1,FAST,84.062066
2,1,FAST,173.493286
2,1,FAST,150.696326
2,1,FAST,115.377886
2,1,FAST,144.512444
2,1,FAST,141.718457
2,1,FAST,104.756983
2,1,FAST,211.343223
2,1,FAST,209.096041
2,1,FAST,172.583996
2,1,FAST,184.877182
2,1,FAST,115.606909
2,1,FAST,212.075199
2,1,FAST,127.117871
2,1,FAST,196.723335
2,1,FAST,98.869129
2,1,FAST,182.804719
2,1,FAST,153.052854
2,1,FAST,121.558304
2,1,FAST,117.018465
2,1,FAST,99.993878
2,1,FAST,83.454283
2,1,FAST,202.524295
2,1,FAST,171.561179
2,1,FAST,179.789999
2,1,FAST,145.020345
2,1,FAST,96.944552
2,1,FAST,172.373933
2,1,FAST,146.300266
2,1,FAST,85.890976
2,1,FAST,155.920471
2,1,FAST,111.346874
2,1,FAST,119.796669
2,1,FAST,83.462032
2,1,FAST,139.224142
2,1,FAST,87.426505
2,1,FAST,171.872358
2,1,FAST,193.980761
2,1,FAST,143.708073
2,1,FAST,115.333656
2,1,FAST,171.276070
2,1,FAST,175.279621
2,1,FAST,97.559197
2,1,FAST,113.551502
2,1,FAST,201.694434
2,1,FAST,134.466172
2,1,FAST,188.875476
2,1,FAST,155.214570
2,1,FAST,185.805612
2,1,FAST,135.739137
2,1,FAST,129.258443
2,1,FAST,83.891231
2,1,FAST,165.034500
2,1,FAST,125.157518
2,1,FAST,99.467700
2,1,FAST,112.344787
2,1,FAST,111.889147
2,1,FAST,174.192858
2,1,FAST,104.965471
2,1,FAST,191.765741
2,1,FAST,124.026286
2,1,FAST,172.166517
2,1,FAST,143.453286
2,1,FAST,83.977362
2,1,FAST,141.033847
2,1,FAST,111.444495
2,1,FAST,119.687077
2,1,FAST,125.411439
2,1,FAST,158.761403
2,1,FAST,127.612126
2,1,FAST,116.879139
2,1,FAST,113.598580
2,1,FAST,117.346180
2,1,FAST,114.903413
2,1,FAST,189.979548
2,1,FAST,144.433442
2,1,FAST,91.283112
2,1,FAST,167.143886
2,1,FAST,104.301418
2,1,FAST,156.769481
2,1,FAST,123.460281
2,1,FAST,87.905937
2,1,FAST,83.880597
2,1,FAST,147.722329
2,1,FAST,183.021010
2,1,FAST,115.057437
2,1,FAST,123.872967
2,1,FAST,125.015950
2,1,FAST,120.490114
2,1,FAST,115.859062
2,1,FAST,136.095106
2,1,FAST,112.312000
2,1,FAST,155.420408
2,1,FAST,134.165067
2,1,FAST,135.130502
2,1,FAST,167.769094
2,1,FAST,137.615250
2,1,FAST,115.564476
2,1,FAST,115.968470
2,1,FAST,196.738059
2,1,FAST,170.038800
2,1,FAST,87.225025
2,1,FAST,143.179887
2,1,FAST,105.576359
2,1,FAST,117.923559
