write_sz,ok,commit_mode,commit_ms,ds_durable_ms
2,1,SLOW_2PC,165.427163,962.253384
2,1,SLOW_2PC,165.369596,959.557983
2,1,SLOW_2PC,165.766641,1041.142650
2,1,SLOW_2PC,165.732497,1047.082792
2,1,SLOW_2PC,165.430596,1010.312919
2,1,SLOW_2PC,165.585918,1044.866292
2,1,SLOW_2PC,166.581524,988.010328
2,1,SLOW_2PC,165.359059,854.842301
2,1,SLOW_2PC,165.344975,958.853024
2,1,SLOW_2PC,165.931559,928.541431
2,1,SLOW_2PC,165.446731,990.918361
2,1,SLOW_2PC,166.045159,1053.015808
2,1,SLOW_2PC,166.037316,1044.715503
2,1,SLOW_2PC,165.686310,998.111385
2,1,SLOW_2PC,165.773671,920.097974
2,1,SLOW_2PC,166.183142,996.654143
2,1,SLOW_2PC,166.037351,918.375928
2,1,SLOW_2PC,165.317340,909.331479
2,1,SLOW_2PC,165.541999,1001.568330
2,1,SLOW_2PC,165.312954,941.690038
2,1,SLOW_2PC,165.983109,1011.610744
2,1,SLOW_2PC,166.111160,966.578591
2,1,SLOW_2PC,166.410272,918.826407
2,1,SLOW_2PC,165.483411,968.688882
2,1,SLOW_2PC,166.264287,996.251068
2,1,SLOW_2PC,165.638589,875.500253
2,1,SLOW_2PC,165.752093,976.739566
2,1,SLOW_2PC,165.550675,923.070632
2,1,SLOW_2PC,165.837213,860.913657
2,1,SLOW_2PC,165.492777,899.766924
2,1,SLOW_2PC,166.084917,1015.100815
2,1,SLOW_2PC,165.581577,1036.750551
2,1,SLOW_2PC,165.635371,981.838136
2,1,SLOW_2PC,165.801563,910.656919
2,1,SLOW_2PC,166.236314,1053.120137
2,1,SLOW_2PC,165.885552,973.142505
2,1,SLOW_2PC,165.442122,963.623616
2,1,SLOW_2PC,166.510762,899.312330
2,1,SLOW_2PC,165.691925,945.568634
2,1,SLOW_2PC,165.836770,991.873981
2,1,SLOW_2PC,165.451788,1031.591093
2,1,SLOW_2PC,165.350010,916.808317
2,1,SLOW_2PC,166.020128,911.179272
2,1,SLOW_2PC,165.755118,976.131724
2,1,SLOW_2PC,165.505933,1005.185423
2,1,SLOW_2PC,165.525424,886.674776
2,1,SLOW_2PC,165.726388,985.229400
2,1,SLOW_2PC,165.890720,935.628236
2,1,SLOW_2PC,165.432772,979.119781
2,1,SLOW_2PC,165.482632,915.450231
2,1,SLOW_2PC,165.585364,923.055430
2,1,SLOW_2PC,165.771418,989.182417
2,1,SLOW_2PC,165.511153,976.436855
2,1,SLOW_2PC,165.688120,857.758119
2,1,SLOW_2PC,165.914595,1021.896229
2,1,SLOW_2PC,165.775516,1025.123730
2,1,SLOW_2PC,166.043122,956.071042
2,1,SLOW_2PC,165.451340,996.259511
2,1,SLOW_2PC,165.703966,1053.531874
2,1,SLOW_2PC,165.727021,961.346337
2,1,SLOW_2PC,165.540033,995.210327
2,1,SLOW_2PC,165.446189,946.837900
2,1,SLOW_2PC,165.563443,1030.459826
2,1,SLOW_2PC,165.513865,953.354821
2,1,SLOW_2PC,165.603987,996.936461
2,1,SLOW_2PC,165.530955,1026.893885
2,1,SLOW_2PC,165.548725,1038.553339
2,1,SLOW_2PC,165.671716,960.871680
2,1,SLOW_2PC,165.794791,1039.038300
2,1,SLOW_2PC,165.643881,1017.271207
2,1,SLOW_2PC,165.776772,897.161831
2,1,SLOW_2PC,165.398144,952.374169
2,1,SLOW_2PC,165.642979,965.651892
2,1,SLOW_2PC,165.376868,1020.867438
2,1,SLOW_2PC,166.012513,1030.167920
2,1,SLOW_2PC,165.655014,1019.445385
2,1,SLOW_2PC,165.412851,1014.032281
2,1,SLOW_2PC,165.884594,993.308638
2,1,SLOW_2PC,166.302810,1012.192553
2,1,SLOW_2PC,165.362696,934.985455
2,1,SLOW_2PC,165.309945,931.751136
2,1,SLOW_2PC,165.902682,951.979698
2,1,SLOW_2PC,165.426243,981.011332
2,1,SLOW_2PC,165.731016,909.287923
2,1,SLOW_2PC,165.477854,991.255270
2,1,SLOW_2PC,165.480980,926.194548
2,1,SLOW_2PC,165.509523,991.775425
2,1,SLOW_2PC,165.528431,1050.884974
2,1,SLOW_2PC,166.100489,1000.129986
