ok,latency_ms,commit_mode
1,0.101750,FAST
1,0.101475,FAST
1,0.114545,FAST
1,0.111022,FAST
1,0.103365,FAST
1,0.110518,FAST
1,0.107349,FAST
1,0.104067,FAST
1,0.100721,FAST
1,0.103496,FAST
1,0.102628,FAST
1,0.101272,FAST
1,0.100673,FAST
1,0.117693,FAST
1,0.101076,FAST
1,0.100503,FAST
1,0.101335,FAST
1,0.101636,FAST
1,0.053640,FAST
1,0.101974,FAST
1,0.100941,FAST
1,0.101418,FAST
1,0.102858,FAST
1,0.101625,FAST
1,0.100133,FAST
1,0.100301,FAST
1,0.100211,FAST
1,0.100938,FAST
1,0.054727,FAST
1,0.102575,FAST
1,0.102016,FAST
1,0.101472,FAST
1,0.101191,FAST
1,0.100652,FAST
1,0.101138,FAST
1,0.101427,FAST
1,0.101058,FAST
1,0.101626,FAST
1,0.101787,FAST
1,0.102515,FAST
1,0.110392,FAST
1,0.101442,FAST
1,0.101156,FAST
1,0.103275,FAST
1,0.101177,FAST
1,0.101186,FAST
1,0.101170,FAST
1,0.090161,FAST
1,0.101093,FAST
1,0.101190,FAST
1,0.105371,FAST
1,0.101869,FAST
1,0.112755,FAST
1,0.100166,FAST
1,0.111355,FAST
1,0.101751,FAST
1,0.101546,FAST
1,0.104352,FAST
1,0.101754,FAST
1,0.103366,FAST
1,0.102865,FAST
1,0.102535,FAST
1,0.103165,FAST
1,0.100457,FAST
1,0.100861,FAST
1,0.101323,FAST
1,0.104129,FAST
1,0.102195,FAST
1,0.102065,FAST
1,0.101758,FAST
1,0.101627,FAST
1,0.101582,FAST
1,0.101504,FAST
1,0.101280,FAST
1,0.101226,FAST
1,0.096411,FAST
1,0.104856,FAST
1,0.102498,FAST
1,0.104212,FAST
1,0.102678,FAST
1,0.101623,FAST
1,0.102134,FAST
1,0.101225,FAST
1,0.101826,FAST
1,0.101387,FAST
1,0.104434,FAST
1,0.107220,FAST
1,0.103622,FAST
1,0.103353,FAST
1,0.102734,FAST
1,0.101073,FAST
1,0.101417,FAST
1,0.103624,FAST
1,0.103341,FAST
1,0.102095,FAST
1,0.102475,FAST
1,0.102479,FAST
1,0.101636,FAST
1,0.101445,FAST
1,0.101630,FAST
1,0.101337,FAST
1,0.101037,FAST
1,0.100893,FAST
1,0.093402,FAST
1,0.102456,FAST
1,0.101484,FAST
1,0.104026,FAST
1,0.102849,FAST
1,0.101367,FAST
1,0.102566,FAST
1,0.122387,FAST
1,0.106908,FAST
1,0.104818,FAST
1,0.103309,FAST
1,0.100530,FAST
1,0.102908,FAST
1,0.112982,FAST
1,0.109220,FAST
1,0.100143,FAST
1,0.100171,FAST
1,0.100781,FAST
1,0.100900,FAST
1,0.101437,FAST
1,0.101060,FAST
1,0.100065,FAST
1,0.100687,FAST
1,0.099683,FAST
1,0.116141,FAST
1,0.110973,FAST
1,0.100406,FAST
1,0.101027,FAST
1,0.068670,FAST
1,0.100327,FAST
1,0.099453,FAST
1,0.101906,FAST
1,0.105211,FAST
1,0.100405,FAST
1,0.108248,FAST
1,0.100385,FAST
1,0.100286,FAST
1,0.101386,FAST
1,0.101583,FAST
1,0.104018,FAST
1,0.101644,FAST
1,0.100678,FAST
1,0.100925,FAST
1,0.100014,FAST
1,0.102307,FAST
1,0.100776,FAST
1,0.109825,FAST
1,0.090446,FAST
1,0.101657,FAST
1,0.101321,FAST
1,0.100702,FAST
1,0.116288,FAST
1,0.110325,FAST
1,0.100686,FAST
1,0.099813,FAST
1,0.099710,FAST
1,0.113824,FAST
1,0.102081,FAST
1,0.108740,FAST
1,0.101139,FAST
1,0.102618,FAST
1,0.100354,FAST
1,0.100184,FAST
1,0.099368,FAST
1,0.100118,FAST
1,0.111044,FAST
1,0.058161,FAST
1,0.102324,FAST
1,0.099687,FAST
1,0.117086,FAST
1,0.100078,FAST
1,0.102998,FAST
1,0.100495,FAST
1,0.099852,FAST
1,0.101992,FAST
1,0.100831,FAST
1,0.100893,FAST
1,0.107559,FAST
1,0.109190,FAST
1,0.100314,FAST
1,0.099876,FAST
1,0.099634,FAST
1,0.100162,FAST
1,0.100165,FAST
1,0.101029,FAST
1,0.088915,FAST
1,0.100658,FAST
1,0.100860,FAST
1,0.102751,FAST
1,0.101406,FAST
1,0.105918,FAST
1,0.109672,FAST
1,0.101362,FAST
1,0.100827,FAST
1,0.100634,FAST
1,0.101523,FAST
1,0.102865,FAST
1,0.100983,FAST
1,0.100303,FAST
1,0.100732,FAST
1,0.100648,FAST
1,0.100784,FAST
1,0.101451,FAST
1,0.100800,FAST
1,0.091346,FAST
1,0.102179,FAST
1,0.101474,FAST
1,0.101284,FAST
