latency_ms,cdf
0.102927,0.58200000
0.102930,0.58400000
0.102955,0.58600000
0.102983,0.58800000
0.102984,0.59000000
0.102988,0.59200000
0.102997,0.59400000
0.102998,0.59600000
0.103043,0.59800000
0.103059,0.60000000
0.103073,0.60200000
0.103110,0.60400000
0.103130,0.60600000
0.103138,0.60800000
0.103163,0.61000000
0.103165,0.61200000
0.103220,0.61400000
0.103220,0.61600000
0.103232,0.61800000
0.103275,0.62000000
0.103280,0.62200000
0.103288,0.62400000
0.103302,0.62600000
0.103309,0.62800000
0.103330,0.63000000
0.103336,0.63200000
0.103341,0.63400000
0.103353,0.63600000
0.103358,0.63800000
0.103365,0.64000000
0.103366,0.64200000
0.103412,0.64400000
0.103436,0.64600000
0.103496,0.64800000
0.103502,0.65000000
0.103520,0.65200000
0.103553,0.65400000
0.103567,0.65600000
0.103577,0.65800000
0.103609,0.66000000
0.103617,0.66200000
0.103622,0.66400000
0.103624,0.66600000
0.103643,0.66800000
0.103668,0.67000000
0.103712,0.67200000
0.103752,0.67400000
0.103752,0.67600000
0.103776,0.67800000
0.103780,0.68000000
0.103818,0.68200000
0.103850,0.68400000
0.103938,0.68600000
0.103949,0.68800000
0.104005,0.69000000
0.104006,0.69200000
0.104018,0.69400000
0.104026,0.69600000
0.104067,0.69800000
0.104114,0.70000000
0.104129,0.70200000
0.104190,0.70400000
0.104212,0.70600000
0.104253,0.70800000
0.104284,0.71000000
0.104285,0.71200000
0.104286,0.71400000
0.104352,0.71600000
0.104357,0.71800000
0.104369,0.72000000
0.104397,0.72200000
0.104434,0.72400000
0.104479,0.72600000
0.104487,0.72800000
0.104491,0.73000000
0.104508,0.73200000
0.104548,0.73400000
0.104565,0.73600000
0.104591,0.73800000
0.104653,0.74000000
0.104660,0.74200000
0.104669,0.74400000
0.104675,0.74600000
0.104725,0.74800000
0.104781,0.75000000
0.104813,0.75200000
0.104818,0.75400000
0.104856,0.75600000
0.104898,0.75800000
0.104956,0.76000000
0.105032,0.76200000
0.105054,0.76400000
0.105070,0.76600000
0.105144,0.76800000
0.105158,0.77000000
0.105211,0.77200000
0.105212,0.77400000
0.105219,0.77600000
0.105322,0.77800000
0.105324,0.78000000
0.105371,0.78200000
0.105386,0.78400000
0.105463,0.78600000
0.105499,0.78800000
0.105513,0.79000000
0.105515,0.79200000
0.105555,0.79400000
0.105598,0.79600000
0.105710,0.79800000
0.105918,0.80000000
0.106313,0.80200000
0.106388,0.80400000
0.106487,0.80600000
0.106512,0.80800000
0.106706,0.81000000
0.106723,0.81200000
0.106771,0.81400000
0.106908,0.81600000
0.107007,0.81800000
0.107220,0.82000000
0.107260,0.82200000
0.107349,0.82400000
0.107451,0.82600000
0.107464,0.82800000
0.107559,0.83000000
0.107566,0.83200000
0.107702,0.83400000
0.107792,0.83600000
0.107919,0.83800000
0.108095,0.84000000
0.108099,0.84200000
0.108168,0.84400000
0.108248,0.84600000
0.108280,0.84800000
0.108548,0.85000000
0.108586,0.85200000
0.108641,0.85400000
0.108740,0.85600000
0.108929,0.85800000
0.109190,0.86000000
0.109220,0.86200000
0.109357,0.86400000
0.109376,0.86600000
0.109672,0.86800000
0.109705,0.87000000
0.109825,0.87200000
0.109865,0.87400000
0.110292,0.87600000
0.110325,0.87800000
0.110392,0.88000000
0.110445,0.88200000
0.110456,0.88400000
0.110518,0.88600000
0.110529,0.88800000
0.110648,0.89000000
0.110875,0.89200000
0.110973,0.89400000
0.111020,0.89600000
0.111022,0.89800000
0.111044,0.90000000
0.111104,0.90200000
0.111297,0.90400000
0.111339,0.90600000
0.111355,0.90800000
0.111544,0.91000000
0.111853,0.91200000
0.112504,0.91400000
0.112694,0.91600000
0.112755,0.91800000
0.112982,0.92000000
0.113075,0.92200000
0.113299,0.92400000
0.113824,0.92600000
0.114094,0.92800000
0.114239,0.93000000
0.114357,0.93200000
0.114381,0.93400000
0.114545,0.93600000
0.114548,0.93800000
0.114803,0.94000000
0.115008,0.94200000
0.116141,0.94400000
0.116288,0.94600000
0.116464,0.94800000
0.116471,0.95000000
0.117086,0.95200000
0.117609,0.95400000
0.117693,0.95600000
0.119508,0.95800000
0.121060,0.96000000
0.122387,0.96200000
0.123026,0.96400000
0.123313,0.96600000
0.124568,0.96800000
0.134601,0.97000000
0.138813,0.97200000
0.166359,0.97400000
0.207454,0.97600000
0.215086,0.97800000
0.215495,0.98000000
0.217638,0.98200000
0.217723,0.98400000
0.219054,0.98600000
0.221296,0.98800000
0.225872,0.99000000
0.227488,0.99200000
0.228300,0.99400000
0.235089,0.99600000
0.239065,0.99800000
0.288676,1.00000000
